datetime,wtr,DO_con
6/26/2006 0:00,21.4,9.7
7/10/2006 0:00,24.4,9.7
7/24/2006 0:00,24.3,8.5
8/7/2006 0:00,26,8.2
8/21/2006 0:00,23.8,7.4
9/6/2006 0:00,24.2,8.9
10/2/2006 0:00,16.1,8.5
10/30/2006 0:00,9.9,9.9
11/27/2006 0:00,7,11.3
1/3/2007 0:00,2.2,14
2/19/2007 0:00,0.3,14.3
4/2/2007 0:00,3.8,13.3
4/16/2007 0:00,4.2,13.8
4/30/2007 0:00,8.9,13.5
5/14/2007 0:00,14.2,10
5/29/2007 0:00,17.7,9.5
6/11/2007 0:00,20.4,9.2
6/25/2007 0:00,23.5,10.6
7/9/2007 0:00,26,9.9
7/23/2007 0:00,23.8,9.8
8/6/2007 0:00,25.2,7.9
8/20/2007 0:00,22.8,6.8
9/4/2007 0:00,24,9.6
10/1/2007 0:00,19.4,8
10/29/2007 0:00,14.3,7.5
11/26/2007 0:00,7.1,11
2/13/2008 0:00,0.1,13
4/14/2008 0:00,3.2,15.4
4/28/2008 0:00,7.8,15.8
5/12/2008 0:00,10.6,13.5
5/28/2008 0:00,14.9,11.1
6/9/2008 0:00,18,10
6/23/2008 0:00,22.3,12.8
7/7/2008 0:00,23.7,11.9
7/21/2008 0:00,25.4,11.1
8/4/2008 0:00,25.3,8.2
8/18/2008 0:00,24.5,8.3
9/5/2008 0:00,22.7,6.9
9/29/2008 0:00,20.3,8.1
10/29/2008 0:00,12.4,9.4
1/21/2009 0:00,0.1,16.3
4/15/2009 0:00,5.1,12.7
4/27/2009 0:00,7.7,13.5
5/11/2009 0:00,13.1,12.8
5/28/2009 0:00,14.7,10.7
6/9/2009 0:00,17.6,8.7
6/23/2009 0:00,24.7,10.3
7/6/2009 0:00,22.6,14.7
7/20/2009 0:00,21.8,13.8
8/5/2009 0:00,23.2,10.4
8/19/2009 0:00,23.7,10.8
9/2/2009 0:00,21.5,9.5
9/30/2009 0:00,18.2,6.1
10/28/2009 0:00,11.5,8.1
12/3/2009 0:00,8.5,9.8
2/1/2010 0:00,1.8,11.1
3/29/2010 0:00,4.5,14.6
4/13/2010 0:00,6.9,14.1
4/26/2010 0:00,9.8,13
5/10/2010 0:00,12.1,10.2
5/24/2010 0:00,20.3,8.9
6/7/2010 0:00,20.6,11
6/21/2010 0:00,22.3,9.7
7/5/2010 0:00,24.2,9.4
7/19/2010 0:00,26.4,9
8/3/2010 0:00,26.9,7.6
8/16/2010 0:00,25.1,6.9
8/30/2010 0:00,24.3,7.5
10/5/2010 0:00,17.3,6.8
11/9/2010 0:00,10.9,10.7
1/19/2011 0:00,0.3,12.8
4/18/2011 0:00,6.2,13.6
5/2/2011 0:00,8,12
5/17/2011 0:00,11.2,10.2
5/31/2011 0:00,15,8.2
6/13/2011 0:00,18.9,10.3
6/27/2011 0:00,20.6,9.3
7/11/2011 0:00,25.8,11.5
7/25/2011 0:00,27.4,10.4
8/4/2011 0:00,28.1,8.4
8/22/2011 0:00,25.1,9.1
9/12/2011 0:00,22.5,11.9
10/3/2011 0:00,15.9,8.7
10/31/2011 0:00,12.2,10.9
2/22/2012 0:00,1.9,14.9
3/21/2012 0:00,7.3,14.4
4/4/2012 0:00,8.9,13.2
4/17/2012 0:00,11,10.2
5/1/2012 0:00,10.9,9.5
5/14/2012 0:00,16.1,10
5/29/2012 0:00,19.2,8.7
6/11/2012 0:00,21.3,10.7
6/25/2012 0:00,23.7,10.2
7/10/2012 0:00,27.6,8.8
7/23/2012 0:00,27.5,7.8
8/6/2012 0:00,26.5,7.8
8/20/2012 0:00,23.6,7.9
9/4/2012 0:00,24.8,7.9
10/1/2012 0:00,17,10.2
10/29/2012 0:00,11.8,8.7
11/29/2012 0:00,6.2,11.5
2/12/2013 0:00,0.3,15.4
4/29/2013 0:00,6.2,16.3
5/14/2013 0:00,12.2,13
5/28/2013 0:00,14.5,11.2
6/10/2013 0:00,20.9,10
6/24/2013 0:00,22.1,11.7
7/8/2013 0:00,24.6,6.6
7/22/2013 0:00,26.2,9.1
8/5/2013 0:00,22.6,7.5
8/21/2013 0:00,24.2,8.7
9/4/2013 0:00,24.1,7.5
9/30/2013 0:00,19.3,8.3
10/29/2013 0:00,11.5,8.9
12/2/2013 0:00,4.5,14.3